TEXT,Annot-1,Annot-2,Annot-3,Source,classes
"এগুলা কি হইতাছে আমাদের দেশে! খুন,নারী,শিশু ধর্ষণ। পুলিশ কি বালডা হালায়।এগুলারে জেলে ডুকাইয়া পোলাও,কুরমা খাওয়ায়।কুত্তার বাচ্চাগুলারে ক্রসফায়ার করতে পারে না।।আমার সাওয়ার দেশ।।।।।।।।।সাওয়া।সোনা না। ",1,1,1,,1
বাংলাদেশে অপরাধী+এইসব বালের গানই ভাইরাল ,1,1,1,,1
"মিডিয়া ভাইরা আঙ্গুল চুসো, ",1,1,1,,1
সময় টিভির মাইরে বাপ শালার পুতেরা বালের রিপোর্ট বানাস রিপোর্টে পুরা কথা বলস না কেন পোস্ট ভাবে দেখা যাচ্ছে এই খুন সাথে জড়িত তার ওয়াইফ তোরা তো একবারও বলিস নি এই খুনের সাথে জড়িত তার স্ত্রী স্বামীকে কুপিয়ে হত্যা করছে আর সে স্বাভাবিকভাবে চলাফেরা করছে ,1,1,1,,1
"ভাইরাল হওয়া রানার দায়িত্ব না নিয়ে ভাইরাল না হওয়া কাউকে এগুলো কিনে দিন,,,সালা ধান্দাবাজ আফ্রদী ",1,1,1,,1
এমনে কথা কেউ কয়??বাল মার্কা প্লেয়ার। ,1,1,1,,1
বসের হাতের এই মালটা (শিষা) কই পামু? প্লিজ কারো জানা থাকলে জানান। কৃতজ্ঞ থাকবো।,1,1,1,,1
বালের নতুন দল ওরা হবে। জাতীয় দলে চান্স পাবার পর সবই সিনিয়রদের বালের ঐতিহ্য দরে রাখবে ,1,1,1,,1
ধর্ষণ করে ফেসবুকে ভাইরাল হইছে। কিছু আবাল ইউটিউবারদের কে আহবান তাদের ইন্টারভিউ নিবেন কীভাবে ধর্ষণ করলো। তারপর তাদের দিয়ে সিনেমা তৈরি করবেন স্যালিব্রিটি হয়ে যাবে 🥴🥴🥴🥴🙄🙄🙄🙄🙄 ,1,1,1,,1
গানের সাথে ভিডিওর মিল বাল ডাও নাই ,1,1,1,,1
লিটন আর সৌম্য এর মতো দুই ব্যর্থ আর অপদার্থ সুপারফ্লপ দুই প্লেয়ার আবার কি করে জাতীয় দলে ঢুকলো???!!! কোন মাদারিরা এদের দলে নিছে???!!! 😠😡😠😡 ,1,1,1,,1
এতদিন মাইকিং ব্যানারের চোদনে ঢাকার মানুষ থাকতে পারে নাই আর আজকে ভোট কেন্দ্রে গিয়ে মানুষ ভোট দিতে পারেনা।,1,1,1,,1
এই আম্পায়ার কুকুর রড টাকার আবারও লিটন দাসকে ভুল আউট দিয়েছিল কিন্তু রিভিউ নেওয়ায় ভালো হয়েছে। ,1,1,1,,1
ফাজিল স্পিকার আর কতদিন চলবি তোরা,1,1,1,,1
কোন খানকির পোলা রা আনলাইক দিছে তাদের জন্য আমার কমেন্ট।।শালার পুতে রা নতুন কেউ কিছু করলে তাকে ওয়েলকাম জানানো উচিত।।।বাট আচোদা গুলা হিরো আলমের ভিডিও তে লাইক দিয়ে ভাইরাল করবে বাট কোন ভাল ছেলে কিছু ভাল কিছু শুরু করলে সেটা চোখে পড়ে না।।।(ভাই আগের টিউন টা বেটার ছিল।এটাউ ভাল এগুয়ে জাউ ভাই),1,1,1,,1
পদ্মা সেতু মেট্রোরেল দিয়ে কি বাল ফালামু যেখানে বাড়ির সামনের রাস্তা ৫ বছর ধরে ভাঙ্গা 🤬 মেগা প্রজেক্ট না কি সবাই জানে ১০ হাজার কোটি টাকার কাজ ১৫ হাজার কোটিতে কইরা ৫ পকেটে রাইখা দেখাও উন্নয়ন 🤬,1,1,1,,1
এই চার টার বিচি হাতুরি দিয়ে পিটিয়ে চেপ্টা করে দেয়া হোক যারা এক মত তারা লাইক দাও,1,1,1,,1
ম্যারাডোনা একটা মাদারচোদ চোদমারানি চুরি করে কাপ জিতে,1,1,1,,1
এমন লোকদের ক্রসফায়ার দেওয়া উচিত😡😡😡😡😡😡 ,1,1,0,,1
কুত্তার বাচ্চারা এটা কি নাটক বানাইছে? নাকি সেক্স মুভি?,1,1,1,,1
দেশে অনেক পথশিশু আছে ভাই পারলে দেশের সব স্রেলিব্রেটিরা এমন কাজ করে দেখান আর দেশের সরকার বাল পালাক আর তাদের পুটকি দিয়া টাকা বরুক খানকির পোলা এম্পি মন্ত্রীদের ছেলে দেখবেন দেশের বাহিরে লেখাপড়া করে চুরির টাকায় অনেক কিছুই বলার ছিলো বললাম না কিছু,1,1,1,,1
মাগির বাচ্চারা এক ওভারে ২৪ ২৫ রান দেয় আর খেলতে নেমেই প্রথম বলে আউট এক ম্যাচ ভালো খেলে যদি ৩০ ম্যাচ খারাপ খেলে এগুলো সোনার খেলোয়ার খানকির বাচ্চারা,1,1,1,,1
হালা বেয়াদবের চাপাবাজির একটা সীমা আছে যতগুলা দেখাইছ সবগুলোতে এন্ড্রয়েড ফোনের ওয়াইফাই,1,1,1,,1
স্পিকার সালাকে লাত্তি মারবার দরকার ছিল আপামনি,1,1,1,,1
কিছো জানুয়ার ডিজ লাইক দিছে,1,1,1,,1
"মাগির পোলা তর আম্মু কে চুদি,তুই নামাজ রেখে কমেন্ট করতে আসছিস কেন ন?",1,1,1,,1
এইগুলা আম্পিয়ার এক নাম্বার এ মাদারচোদ,1,1,1,,1
কোন মাদারচুদে এই ভিডিওতে ও আনলাইক দিল😡,1,1,1,,1
আমি পাকিস্তানের ক্রিকেটার দের দেখলে মনে হয় কোকেন খোর স্পট ফিক্সার,1,1,1,,1
কিরে বালকাতার শুয়োরের বাচ্চা রিফিউজি পরাধীন কাংলু কেমন বোধ করছো আজ 😁😁বাংলাদেশের খেলা দেখবি আর পুটকির মধ্যে বার্নল ঢুকিয়ে জ্বলবি😂😂😂আনলাইক চোদানোর জন্য চলে এসেছিস কাংলু দে একটা আনলাইক দিয়ে তোর মনের জ্বালানি নিভা কাংলুস😁😁😁যাবার সময় গোমূত্র নিয়ে যাস কাংলু 😂😂,1,1,1,,1
আমার আর ভালো লাগে না এসব মাঝে মাঝে ইচ্ছে করে এই সমাজটাকে ধর্ষণ করে গলাটিপে ফেলে রাখি ডাস্টবিনের পাশে তারপর আমার জেল হয় হোক ফাঁসি হয় হোক!! কে পরোয়া করে। ফাক দিস বুলশিট সোসাইটি!,1,1,1,,1
কনডম দুর্ঘটনা যে এত ভয়ানক হতে পারে তা কল্পনাও করতে পারিনি বাংলাদেশে সবকিছুর অভাব হতে পারে যেমন খাদ্য বস্ত্র শিক্ষা কিন্তু পাগলের অভাব কোনদিন হবে না,1,1,1,,1
আপনার ফ্রেন্ড লিস্টে এমন কেউ আছে যার রুপের আগুনে আপনার পা*ছা পুড়ে যেতে পারে 😁😂,1,1,1,,1
"জীবনে গাঞ্জা খেয়ে যতটা না ফিল করি।
তার চেয়ে বেশি ফিল করি....
এইসব পোস্ট দেখে।
তাই গাঞ্জা খাওয়া বাদ দিয়া দিছি।
এখন আমি নিয়মিত পোস্ট দেখি।😁",1,1,1,,1
"বাহ! অসাধারণ পোষ্ট , আপনার জন্য থাকছে কেয়া কসমেটিকের সৌজন্যে একটি মহা মূল্যবান ইয়াবা মেশিন, পরিবেশ বান্ধব গাঞ্জার গাছ,",1,1,1,,1
রুয়েট একটা বিষন্ন লাশকাটা ঘর। ক্রিয়েটিভ মাইন্ডের কারো ঐ ভার্সিটিতে যাওয়াই উচিৎ না।,1,1,1,,1
ফ্যাকাল্টি মাদারচোদগুলারে ব্রাশ ফায়ার করা দরকার। আমাদের সাথেও একটা ছেলে ২ বছর ড্রপ খেয়ে লাস্টে ড্রপ আউট হয়ে যায়। কপাল ভালো এমন কিছু করেনি। বাট করলেও অবাক হতাম না বেশি।,1,1,1,,1
তাহেরি পাগলের একটা করে ডায়লগ বলে যান👇👇 ,1,1,1,,1
ভালো কন্টেন্ট না বানায়ে ফকিন্নির মত ভিক্ষা চাচ্ছেন কেন? ,1,1,1,,1
আমি জানতাম না যে তামিম আর তাহেরি দুই জন মিলে আপনাকে জরমো দিছে আপনি কত বর বাস্টার্ড খানকির পোলা আজকে জানলাম ,1,1,1,,1
" অথব এইসব ক্যারিয়ার স্পেশালিস্ট আর ইনফ্লুয়েন্সার দের কথা শুনলে মনে হয়, পৃথিবীর সবাই কত সুখি, একমাত্র আমরাই পিছায় আছি ২০ বছরে কেন বার্ষিক ২০ লাখ ইনকাম করি না কেন।",1,0,1,,1
মেয়েটি যেভাবে হাত নারাইতেচে।আমার তো মনে হয় সেই উগ্র বাদের ১ নাম্বার,1,1,1,,1
সত্যি বলতে গানটা শুনতে ইচ্ছা করে না কিন্ত অটো প্লে দেওয়াতে একটা গান শেষ হইলেই বালের গানটা আবার আসে 😒😒😒,1,1,1,,1
আর কোনো মডেল পাইলানা? বালের এক মাইয়া,1,1,1,,1
বালের এক মডেল,1,1,1,,1
বাংলাদেশের একেকটা খেলোয়াড় রে দেখলে মনে হয় সব ইথিওপিয়া থেকে আসছে। সব বাইট্টা,1,1,1,,1
তোমার মায়ের ভোদায় ভরে দেবো ইন্ডিয়ার পতাকা,1,1,1,,1
সেটার ভোট দিবো মানুষ ....টোগো ভোট আর ওপর চুদি,1,1,1,,1
এদের জেলে দেওয়ার আগে এদের মা বাপ কে জেল এ দেওয়া উচিত..... কুত্তার বাচ্চা একেকটা,1,1,1,,1
চায়না সন্তাসী রাষ্ট্র,1,1,1,,1
তোমরা এতো দিন বাল ফেলাইছ এতোদিন রিপুট বানাওনি কেনো এখন দরা খাইছে তাই রিপুট বানাইছ আওয়ামিলীগ যে জন্মগত ভাবে মাগীবাজ তা বাংলার জনগণ জানে,1,1,1,,1
মাগি ষদি ভালো হতো তাহলে তার পাড়াশুনা করানো কোন মানেই ছিল না।ওষদি রিফাতকে নিয় সুখে থাকতো তাহলে রিফাতে সংসার নিয়ে থাকতো। তবে মাগি ভালো না বলেই বেপরোয়া ভাবে কলেজে যেতো।কারন এক বাতারে মনরে নাই,1,1,1,,1
পাপন তোই ওরে বাটপার ওরে বাটপার ওরে ছিটার হারামি কুত্তালীগের বাটপার,1,1,1,,1
৭৬ জন আনলাইক দিছে কোন সালারা।তারা প্রকৃত দেশদ্রোহী।,1,1,1,,1
মিথ্যা কথা কয়ার জায়গা পান না শনি বার এ রবি সোম বার তাই নাটকটি চ্যানেন নাইনে দেন ৮ টা ৪৫ মিনিটে কই না ত,1,1,1,,1
খানকি আবার এনজয় করেছে 😡😡😡😡,1,1,1,,1
পাগল ছাগল এতো বিবরণ দেওয়া লাগে নাকি??ভিডিও দেখালেই তো হয়,1,0,1,,1
ভাই এই রকি নামে এনিমি আমি ছিলাম,1,0,1,,1
"ভালের এক কাহিনি বাংলাদেশে কোন একটা কিছু ভালো চল্লে ওটারে ততক্ষণ কফি করে যতক্ষণা মানুষ গালাগালির না করে, যেমন এই গানের শুর আর ট্র‍্যেকও কফি",1,1,1,,1
"ধান্দাবাজরা কাকে বিক্রি করছে লাইকের জন্য,আর আবালের দল লাইক দিয়ে যাচ্ছে।",1,1,1,,1
"অনলাইন জিহাদি জঙ্গি। তোদের কি কোন কাজ নাই, যেখানে পাস, সেখানেই জিহাদ মতমাদ প্রচার করোস।",0,1,1,,1
বাংলাদেশের ভরা ডুবির একমাত্র কারন হচ্ছে পাপনের মত পাপী লোকের কারনে তার মত জুয়াড়ি যতদিন থাকবে বাংলাদেশের ক্রিকেট টিম মেনেজমেন্টে ততদিন এইভাবেই চলবে ওরে বাটপার 😜😜😜😜😝😛😛😛😛😛😛,1,1,1,,1
চিটার কেন আপনারা এইরম চিটার ভিডিও ভিডিও বানান,1,1,1,,1
কপি ভিডিও ছাড়া আর কিছু দেখাইতে পারলেন না? বাল,1,1,1,,1
যারা ডিসলাইক দিছে তারাই হলো মেয়ে,0,1,1,,1
সাবিলার সাইজ তো সেই হই গেছে🙈🙈,1,1,1,,1
আম্পিয়ার রড টাকার একটা বাইনচুদ,1,1,1,,1
আজ জুবাইর এর বড় কোন চাচা-মামা থাকলে সেও ভাল হেলপ পেত । ভাল কিছু দেখানর । কিন্তু কি বলব শালারপুতাইন ক্রিকেটেও রাজনীতি করে,1,1,1,,1
কিন্তু ছেলেদের উল্টা নিজের বন্ধুরে মাঝে মধ্যে ডেটিং এর সময় টাকা দিয়ে সাহায্য করতে হয়। ৪. মেয়েরা সর্বদা অন্যের প্রেমিকের খুত ধরতে ব্যস্ত থাকে,1,0,1,,1
"ফালতু একটা ভিডিও,তাহসিন তার নৈতিকতা থেকে সরে যাচ্ছে!",1,1,1,,1
মোভীর নাইকারা খারাপ বেশী,1,1,1,,1
"ডিস লাইক,সাপা মাগির জন্য",1,1,1,,1
১ বছরের উপর থেকে আপনার পেজে গিয়ে চিল্লাচ্ছি যে আয়মানরে রোস্ট করেন...দেরীতে রোস্ট করলেও রোস্ট করায় ধন্যবাদ!!,1,1,1,,1
আপনারা হলেন বিশ্ব ছিটার,1,1,1,,1
"তুই আরেক বোকা চোদা কোথায় থেকে আসলি.? এরা তো আমাদের ব্রেন ওয়াশ করতেছে, এদের এগুলা বিশ্বাস করা যাবে নাহ",1,1,1,,1
যদি শাউয়া বয় না নিয়া যদি হাফেজদের নিয়া ব্লোগ করতেন তাহলে আরো বড় সেলিব্রেটি হইতা ব্রো,1,1,1,,1
"তোর বোন আর বউরে এমনে কয়টা চামু দিসস তা নিয়ে ১টা নিউস কর,,,, সময় মাদারসা",1,1,1,,1
"৮১৮ জন ডিসলাইক দিসে, এরা কি প্রবাসে থাকে নাকি এসব অসভ্য লোক ওদের আত্মীয়?",1,1,1,,1
তোরা একটা নিউজ করছিলি যে সব জায়গায় পতিতা লয় খুললে ধর্ষন কমে যাবে আমি বলি তোরে সময় টিভির ইস্টভদের মা বোন আর বউ কে চোদা লওনের জন্য পাঠিয়ে দে,1,1,1,,1
অই মাদারের বাচ্চা নিজে কিছু পারস না তাই মানুষের ট্যালেন্টকে সম্মান করতে শিখ,1,1,1,,1
এই আপুকে স্যালুট দিলাম। খানকি মাগির পোলারা বিএনপি কে ভোট দিতে দিবেনা তো নির্বাচন কেন করছে। সুশঠু নির্বাচনহলে এক আওয়ামী খানকি মাগির পোলাও জিততে পারবেনা। নটির পোলারা দুরনীতি করছিস এর হিসাব দেওয়া লাগবে। আর প্রশাসন এর লটির বাচ্চা তোগো মাইরে তোরা চোদ। ভোট কেন্দ্রে বাল চাছার জন্য যাও কুত্তার বাচ্চারা। তোদের কারো বেতন হালাল হচ্ছে নারে মাগির বাচ্চারা। পরকালে হিসাব দেওয়া লাগবে রেডি হ কুত্তা লীগের চামচা রা,1,1,1,,1
ঐ কুততার বাচ্চা মালিক রে ক্রস ফায়ার দেওয়া হউক নয়ন বন্ডের মতো।,1,1,1,,1
কেচ ফায়ার দেওয়া উচিত এদের বিচার সাতে সাতে করা উচিত নয় এই কাজ আবার করবে,1,1,1,,1
আর কতো ভাবে ভিউ কামাবি ভাই সব সময় নিজের জিনিসি দেখাছ মনটা বড় কর অহংকার ভালো না ভাই তুই চাপাবাজ খুবি সরনের খনি তাই না,1,1,1,,1
আমার বাংলায় হাজারো ট্যালেন্ট ছিল তোগো ম্যানেজমেন্টকে চুদি,1,1,1,,1
বালের নিউজ। যখন সবাই জানে তারপর নিউজ করে লাভ কি।পুলিশ ধরার পর কেন?? আগে কারটা ফালাইছস হালার পুত,1,1,1,,1
"বালের ভিডিও বানায় কপি করা, মেজেসটাই খারাপ হয়ে যায়, আরে আজ কাল মানুষ সব ভিডিওই দেখে, কপি করে লাভ কি, পাবলিক এখন আর বোকা চোদা নাই, আশা করি ভালো ভিডিও বানাবেন",1,1,1,,1
"হ্যাপি বিয়ে করুক নাই করুক তোর আর আমাদের সমস্যা কি, ভাই তোরা ভাল কিছু নিউজ দিচ,এদের মতো মাগিদের হাইলাইট করিচনা, তোরা সব শালারাই আদা খানকির পোলা",1,1,1,,1
লাইক দিতে গেসিলাম... কিন্তু লাস্টের ঐ কুত্তাটারে দেইখা আনলাইক দিয়া দিলাম।,1,1,1,,1
বালের এড নাকি নাটক এটি,1,1,1,,1
কিসের বালের আয়মান বাল মান??? এগুলো কে আর রোস্ট করবেন না! যত্তসব বাল ছাল আয়মান😊,1,1,1,,1
"ফাঁসি নয়,, ক্রস ফায়ার,,,",1,1,1,,1
এই খানকির পোলা শুদু মিথ্যা নিউজ দেই,1,1,1,,1
হেতিগো আবার বিয়া করা লাগে নি লিংকের অপেক্ষায় আছি,1,1,1,,1
এখন নাকি আবার পুলিশ তদন্ত করে বাল ছিরবে,1,1,1,,1
পাপন তুই হালার পুতে কি ফিটনেস আছোস,1,1,1,,1
বাংলাদেশে সবচেয়ে চিটার,1,1,1,,1
আজব কথা বার্থা ।খুব সুইট ভালো লাগছে নিজেকে দেখে ।নিজের সর্বনাশ নিজে দেখতেছে। একন এটাই ডিজিটাল রেপ । স্মার্ট,1,1,1,,1
ক্ষ্যাত লাইক দ্যাট!,1,1,1,,1
আপনার বউ একটা মাগি...কি। এর ভিডিতে দেখে আপনার চ্যানেল আনসাবক্রাইভ করলাম,1,1,1,,1
